FIPS,Recip_County,Recip_State,Series_Complete_18PlusPop_Pct,Census2019_18PlusPop,Deaths,Confirmed
27019,Carver County,MN,76.9,77387.0,31,10410
38007,Billings County,ND,26.3,735.0,0,40
19187,Webster County,IA,69.3,28151.0,39,2933
31107,Knox County,NE,61.5,6305.0,-1,378
72127,San Juan Municipio,PR,90.1,264985.0,0,43976
05083,Logan County,AR,56.3,16897.0,24,1521
36007,Broome County,NY,72.5,153683.0,70,18193
34001,Atlantic County,NJ,78.3,208133.0,207,28828
55029,Door County,WI,88.3,23171.0,24,2896
22013,Bienville Parish,LA,61.4,10299.0,13,1698
51735,Poquoson city,VA,53.0,9524.0,7,1082
72087,Loiza Municipio,PR,64.1,19813.0,0,2652
50001,Addison County,VT,76.0,30721.0,12,3798
48105,Crockett County,TX,60.2,2604.0,3,495
22029,Concordia Parish,LA,54.2,14697.0,9,2174
22111,Union Parish,LA,55.0,17352.0,25,3085
45053,Jasper County,SC,44.6,24117.0,13,2261
21179,Nelson County,KY,62.9,35392.0,47,6174
31007,Banner County,NE,38.5,563.0,1,17
18011,Boone County,IN,83.4,50221.0,63,5307
01021,Chilton County,AL,45.1,33837.0,39,4323
21119,Knott County,KY,55.6,11867.0,19,1999
05135,Sharp County,AR,46.4,13861.0,32,1700
16071,Oneida County,ID,57.9,3247.0,1,247
30023,Deer Lodge County,MT,61.9,7888.0,2,1091
37029,Camden County,NC,75.8,8407.0,0,619
47139,Polk County,TN,49.8,13617.0,34,1619
29187,St. Francois County,MO,52.8,53088.0,72,6474
20155,Reno County,KS,60.6,48216.0,59,6071
08117,Summit County,CO,93.7,25982.0,2,4142
05119,Pulaski County,AR,67.9,301549.0,232,47416
20015,Butler County,KS,59.8,49932.0,56,7203
48381,Randall County,TX,58.6,104801.0,88,4774
36085,Richmond County,NY,86.3,372457.0,391,70588
42055,Franklin County,PA,59.7,120801.0,164,13898
18033,DeKalb County,IN,53.5,33023.0,32,3147
21183,Ohio County,KY,49.6,18161.0,14,2812
08007,Archuleta County,CO,66.7,11541.0,7,1090
55137,Waushara County,WI,52.2,19983.0,15,2298
19097,Jackson County,IA,64.3,15141.0,19,1285
47061,Grundy County,TN,38.0,10562.0,11,1180
29099,Jefferson County,MO,53.7,173549.0,207,19833
06073,San Diego County,CA,86.1,2623534.0,918,490981
48285,Lavaca County,TX,53.0,15467.0,21,1174
39159,Union County,OH,74.5,44532.0,20,6300
54003,Berkeley County,WV,67.1,91718.0,97,14874
36117,Wayne County,NY,72.0,70822.0,60,7060
21055,Crittenden County,KY,50.3,6865.0,14,1039
16057,Latah County,ID,67.6,32723.0,10,2346
42013,Blair County,PA,63.1,97209.0,139,8363
21145,McCracken County,KY,67.5,50902.0,80,9481
35039,Rio Arriba County,NM,90.6,29944.0,50,5174
20087,Jefferson County,KS,65.4,14723.0,15,1883
30045,Judith Basin County,MT,49.2,1613.0,0,79
41057,Tillamook County,OR,74.8,21952.0,18,2061
47159,Smith County,TN,41.3,15662.0,23,2024
13169,Jones County,GA,53.3,22203.0,10,1686
37021,Buncombe County,NC,78.1,213777.0,156,28212
22015,Bossier Parish,LA,62.4,95685.0,88,19488
36115,Washington County,NY,76.0,49814.0,32,5464
20037,Crawford County,KS,55.5,30346.0,26,5091
48399,Runnels County,TX,55.3,7885.0,12,713
18169,Wabash County,IN,50.9,24603.0,30,2302
18147,Spencer County,IN,54.5,15890.0,7,1565
35053,Socorro County,NM,79.5,12945.0,22,1650
39043,Erie County,OH,70.1,59282.0,45,6192
20085,Jackson County,KS,77.2,9864.0,10,1478
19023,Butler County,IA,69.3,11229.0,6,859
41049,Morrow County,OR,69.9,8421.0,12,1096
36109,Tompkins County,NY,84.6,87204.0,19,11622
13261,Sumter County,GA,62.6,22842.0,26,2865
48085,Collin County,TX,79.1,769461.0,305,98699
06039,Madera County,CA,65.3,114178.0,58,21168
39141,Ross County,OH,61.4,60438.0,49,7711
19125,Marion County,IA,64.6,25432.0,24,1932
23021,Piscataquis County,ME,70.5,13973.0,14,1321
37155,Robeson County,NC,52.8,98425.0,97,17990
08005,Arapahoe County,CO,77.9,503709.0,260,77026
17071,Henderson County,IL,59.4,5433.0,4,398
55095,Polk County,WI,60.8,34771.0,14,3956
39015,Brown County,OH,50.9,33493.0,37,3848
51063,Floyd County,VA,45.1,12702.0,16,1038
21113,Jessamine County,KY,64.1,41273.0,37,7080
48037,Bowie County,TX,50.5,71264.0,88,7321
01055,Etowah County,AL,50.0,80492.0,128,9512
37031,Carteret County,NC,76.1,57537.0,51,6917
30095,Stillwater County,MT,51.9,7607.0,3,348
51017,Bath County,VA,50.1,3520.0,5,411
21143,Lyon County,KY,65.6,7030.0,8,1142
72145,Vega Baja Municipio,PR,89.9,40987.0,0,10156
18045,Fountain County,IN,58.2,12798.0,33,1604
